ts,meter_urn,measurement,value,lstm_flag,if_flag,bollinger_flag,score,label
2017-12-31 23:00:00+00:00,V.Z81,P,-64355.54843832759,0,1,0,1,주의
2018-01-01 01:00:00+00:00,V.Z81,P,-83656.62964409722,0,1,0,1,주의
2018-01-01 02:00:00+00:00,V.Z81,P,-63657.501429307726,0,1,0,1,주의
2018-01-01 03:00:00+00:00,V.Z81,P,-74297.91835038277,0,1,0,1,주의
2018-01-01 04:00:00+00:00,V.Z81,P,-84503.47496527778,0,1,0,1,주의
2018-01-01 05:00:00+00:00,V.Z81,P,-84717.40958973701,0,1,0,1,주의
2018-01-01 06:00:00+00:00,V.Z81,P,-85094.46597656251,0,1,0,1,주의
2018-01-01 07:00:00+00:00,V.Z81,P,-85405.33637152778,0,1,0,1,주의
2018-01-01 08:00:00+00:00,V.Z81,P,-84612.28869791668,0,1,0,1,주의
2018-01-01 09:00:00+00:00,V.Z81,P,-85174.28046440972,0,1,0,1,주의
2018-01-01 10:00:00+00:00,V.Z81,P,-82976.6398828125,0,1,0,1,주의
2018-01-01 11:00:00+00:00,V.Z81,P,-71276.19550761291,0,1,0,1,주의
2018-01-01 12:00:00+00:00,V.Z81,P,-85351.10063151042,0,1,0,1,주의
2018-01-01 13:00:00+00:00,V.Z81,P,-85222.85040364583,0,1,0,1,주의
2018-01-01 14:00:00+00:00,V.Z81,P,-85234.8205859375,0,1,0,1,주의
2018-01-01 15:00:00+00:00,V.Z81,P,-85927.67017713649,0,1,0,1,주의
2018-01-01 16:00:00+00:00,V.Z81,P,-84187.28586805557,0,1,0,1,주의
2018-01-01 17:00:00+00:00,V.Z81,P,-83921.76857638889,0,1,0,1,주의
2018-01-01 18:00:00+00:00,V.Z81,P,-84103.55921006945,0,1,0,1,주의
2018-01-01 19:00:00+00:00,V.Z81,P,-85041.81733206006,0,1,0,1,주의
2018-01-01 20:00:00+00:00,V.Z81,P,-51124.10881817483,0,1,0,1,주의
2018-01-01 21:00:00+00:00,V.Z81,P,-42388.39155476888,0,1,0,1,주의
2018-01-02 00:00:00+00:00,V.Z81,P,-12796.854962022571,0,0,1,1,주의
2018-01-02 04:00:00+00:00,V.Z81,P,-83767.10839192709,0,1,0,1,주의
2018-01-02 05:00:00+00:00,V.Z81,P,-83515.26216796876,0,1,0,1,주의
2018-01-02 06:00:00+00:00,V.Z81,P,-83863.1418359375,0,1,0,1,주의
2018-01-02 07:00:00+00:00,V.Z81,P,-83751.30869574653,0,1,0,1,주의
2018-01-02 08:00:00+00:00,V.Z81,P,-83726.94454427084,0,1,0,1,주의
2018-01-02 09:00:00+00:00,V.Z81,P,-83847.03809895834,0,1,0,1,주의
2018-01-02 10:00:00+00:00,V.Z81,P,-83833.13114149305,0,1,0,1,주의
2018-01-02 11:00:00+00:00,V.Z81,P,-85015.04818878995,0,1,0,1,주의
2018-01-02 12:00:00+00:00,V.Z81,P,-84104.70575954861,0,1,0,1,주의
2018-01-02 13:00:00+00:00,V.Z81,P,-83992.72927083333,0,1,0,1,주의
2018-01-02 14:00:00+00:00,V.Z81,P,-83939.63047743055,0,1,0,1,주의
2018-01-02 15:00:00+00:00,V.Z81,P,-85224.7872285393,0,1,0,1,주의
2018-01-02 16:00:00+00:00,V.Z81,P,-82498.91490451389,0,1,0,1,주의
2018-01-02 17:00:00+00:00,V.Z81,P,-82775.830625,0,1,0,1,주의
2018-01-02 18:00:00+00:00,V.Z81,P,-83450.07477864582,0,1,0,1,주의
2018-01-02 19:00:00+00:00,V.Z81,P,-84816.65293596048,0,1,0,1,주의
2018-01-02 20:00:00+00:00,V.Z81,P,-83454.03841145833,0,1,0,1,주의
2018-01-02 21:00:00+00:00,V.Z81,P,-9544.843313802094,0,1,0,1,주의
2018-01-03 12:00:00+00:00,V.Z81,P,60731.53493977864,0,1,0,1,주의
2018-01-03 13:00:00+00:00,V.Z81,P,40281.034160156254,0,1,0,1,주의
2018-01-03 14:00:00+00:00,V.Z81,P,31363.262060546866,0,1,0,1,주의
2018-01-04 23:00:00+00:00,V.Z81,P,-65883.75736626389,0,1,0,1,주의
2018-01-05 02:00:00+00:00,V.Z81,P,-84080.85315538195,0,1,0,1,주의
2018-01-05 03:00:00+00:00,V.Z81,P,-85960.3741070206,0,1,0,1,주의
2018-01-05 04:00:00+00:00,V.Z81,P,-83815.85562500001,0,1,0,1,주의
2018-01-05 05:00:00+00:00,V.Z81,P,-71115.07034505208,0,1,0,1,주의
2018-01-05 06:00:00+00:00,V.Z81,P,-74881.00874348958,0,1,0,1,주의
