week,weekday,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,hour
48,4,0.6185189361798414,1.132688750862664,0.667529475256667,210.26895106574347,-15.366976102795597,81.38980530948422,144.2120607400242,0.9643267519336709,-0.08116565042030115,0.33756128935061785,0.8632898423446357,67.12154660364978,230.4926964610981,230.13498382151624,230.9371952026237,193344.69025488145,158467.52558269125,158467.58688703907,0.06,193344.69025488148,0.0,50.066417119211664,12.0
48,5,0.5742912256993018,1.0006346072468555,0.5393566151680879,203.844898167122,5.382113137809768,84.01723611111112,114.46275728235742,0.9721640275372777,0.10631063588686844,0.4291208873371753,0.731482296896648,56.798614526411654,229.30973794250278,229.04175236966373,229.7343868452164,193349.58503590626,158469.00972067434,158469.0705540077,0.06,193349.58503590626,0.0,50.06796617890715,11.5
48,6,0.5870797472677596,1.0603678278688524,0.5904269694899819,207.67125739981785,-4.200882115209472,86.50840516848815,125.43047728825137,0.9696117711155501,0.022455652465904415,0.4045611566484517,0.774509375,61.26694780282332,229.77076275045536,229.60576275045537,230.35343522313295,193354.51518162576,158470.42305400767,158470.48347067434,0.06,193354.51518162576,0.0,50.067274533242255,11.5
49,0,0.6390662845739389,1.198000227686703,0.7308856443533697,211.379543715847,-27.309767702641167,81.50320355191256,157.2424057946266,0.961369410291439,-0.1780066142987249,0.3031150557832422,0.92050202071949,71.21037573998179,229.2575321822718,229.0657257513661,230.06350411271066,193359.53018845632,158472.00374845212,158472.06499845212,0.06,193359.53018845638,0.0,50.05293795537341,11.5
49,1,0.6206994982168964,1.1262134576878688,0.6653623575155572,206.31569461520948,-16.132660803734062,80.34498292349727,142.1013918714418,0.9650064243920595,-0.07866255122950817,0.34163569089402457,0.8604776408323235,65.5672897313297,228.18548162912705,227.8745617327453,228.75647132914435,193364.5396192396,158473.65614428546,158473.71697761878,0.06,193364.5396192396,0.0,50.0588943687252,11.5
49,2,0.6143511789961886,1.0970578252475853,0.6373605418943534,203.9877629781421,-11.611576787340619,80.10631733834244,135.57807604735885,0.9671139458105645,-0.03840137473021992,0.3599011498178506,0.8290767031061058,62.340572973588344,227.8967776926344,227.49569640408822,228.35167696996834,193369.43147317859,158475.14909567434,158475.209512341,0.06,193369.43147317859,0.0,50.05708265027322,11.5
49,3,0.6198228028233151,1.1375210610200364,0.6689761681539647,207.99477390439324,-16.320431206088994,80.89093101635007,143.41846969598404,0.9627482102198802,-0.08798084206132357,0.33668992621866595,0.8617613222634226,67.84977520546015,228.92762885983174,228.64485211206522,229.48867827868852,193374.36484123414,158476.70292999974,158476.76334666638,0.06,193374.36484123414,0.0,50.059305989244514,11.5
49,4,0.6166637110445271,1.1351650662817485,0.6658657495101866,210.15487499999998,-16.372672757285972,83.08961885245903,143.50833800091075,0.9640513521050497,-0.08462230893846551,0.34582637138188604,0.8545647738056972,67.32153341302369,230.39651334066,230.12394213218076,231.10727003642987,193379.3999732924,158478.3571859521,158478.41885261878,0.06,193379.3999732924,0.0,50.05837983413898,11.5
49,5,0.5194127365270528,0.7468771907670172,0.29213091985428047,194.45629337431694,49.45523360655738,86.2004158697632,58.81650665983607,0.9824919797358834,0.4835813296903461,0.610451980874317,0.2990169512750455,39.868596823770496,230.2545315346084,229.94151297814207,230.93366347905283,193384.27483440354,158479.67485956324,158479.73527622988,0.06,193384.27483440354,0.0,50.061256346049355,11.5
49,6,0.4873194444444444,0.5781909722222222,0.1301111111111111,186.92312152777777,77.75103472222222,85.33327777777778,23.772756944444442,0.9903427083333334,0.7333159722222221,0.7225927083333333,0.07401076388888889,27.345868055555556,229.92385416666664,229.85208333333333,230.61604166666666,193388.85175095635,158480.485137341,158480.54555400767,0.06,193388.85175095635,0.0,50.066937499999995,11.5
50,0,0.5202927308818646,0.7456945860429932,0.2903716654289681,192.58562181238617,48.331978938979965,84.78910484972677,59.50950369990892,0.9829213672065312,0.4814666371587745,0.6075786629815861,0.3323704178051002,38.6163726662113,229.30905680783243,229.196309790664,230.02402231999358,193393.39112365432,158481.27166511878,158481.33249845213,0.06,193393.39112365432,0.0,50.074117730956154,11.5
50,1,0.5653434376482834,0.9256875,0.46196159742974946,200.80859995446266,17.438736452641166,84.92492571721311,98.43224647085611,0.9747951856749736,0.21027663656992854,0.4937812272313297,0.5805467782331512,50.56506950136612,229.89463113319096,229.6567808448516,230.58521887101836,193398.0075774591,158482.18360956325,158482.24360956324,0.06,193398.0075774591,0.0,50.08205253870674,11.5
50,2,0.6331417392776783,1.2320001109733512,0.7488366917122041,212.50604959087988,-33.49219427367942,86.17270668260473,159.04755492941712,0.9601626366120218,-0.2307865380236794,0.30517405510018214,0.9233605418943535,71.66471943115828,229.47088676795855,229.08376964515313,230.1275552140255,193403.0326190119,158483.76906095212,158483.82947761877,0.06,193403.0326190119,0.0,50.07378773907104,11.5
