week,weekday,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,hour
1,0,,,,,,,,,,,,,,,,-3541065.408498443,-285776.2419914636,,,,,,0.0
48,4,-256.86516326692237,-242.2792396791456,-231.77116590299698,-166281.56721335798,-58616.10748450033,-55299.24396178823,-52341.06347304529,-0.854625386077453,-0.8556536350677121,-0.8578166785459729,-0.860960157938205,-14731.005846468452,230.6369927536232,230.2968479392232,231.0035215072011,-3423598.24806366,-277472.77068711584,17431.251615753994,294904.02273765247,15758.098289626225,3439356.3463532864,50.05802535100522,12.0
48,5,-206.79361159282846,-194.80145928033195,-186.9529537504209,-132119.61235564665,-46388.998132285975,-43880.456630350636,-41842.904410860654,-0.6341398971200501,-0.6305788269594029,-0.6225273798368732,-0.6623352945003137,-9075.824419626593,229.4606378908716,229.21660056636574,229.80553618807298,-3427182.714632323,-277751.70128791174,17443.65969991888,295195.35973783064,15765.865662814635,3442948.5802951376,50.05790629586923,11.5
48,6,-226.9560865209472,-212.52226946721314,-205.08022438524588,-145408.60869603825,-51167.711423952635,-48066.707236054186,-46174.71831341074,-0.7161890881147541,-0.7150707877959928,-0.7077586919398907,-0.7386890198087431,-8461.411400956284,229.922558643676,229.7773867258652,230.4347489754098,-3430503.911442432,-277972.12986942363,17462.677074691193,295434.8069441148,15777.540662814632,3446281.4521052465,50.0567497723133,11.5
49,0,-280.5154973816029,-260.58961486794175,-251.72354969262292,-179923.37234676685,-63849.238733834245,-59288.67966370674,-56792.75198611111,-0.9646183230874317,-0.9666183800091074,-0.9652642474954463,-0.9568801286429872,-15969.516232923497,229.394302140255,229.2211782786885,230.13034380692167,-3434398.86266511,-278248.86199146364,17477.299713580083,295726.16170504375,15783.195246147967,3450182.0579112577,50.04230589708561,11.5
49,1,-254.7678345856102,-237.97988148907106,-229.52608245883832,-162521.00125808286,-57476.63457559198,-53705.72985302823,-51343.39994842896,-0.8557090340475032,-0.8559527227762441,-0.8531993243035197,-0.8598273850182149,-14321.584934881603,228.333547928051,228.0342655462074,228.8326775956284,-3438552.682029864,-278620.4259190593,17485.117213580084,296105.52813263936,15785.541912814633,3454338.2239426784,50.048145723416866,11.5
49,2,-244.30090602231328,-228.95621152094716,-220.07390821308033,-155487.76491199908,-54920.726150728595,-51525.382502163025,-49051.14503768215,-0.7929650785519126,-0.7938776867030964,-0.8016152436247723,-0.8089225865209472,-14381.68181454918,228.02252049180325,227.6461594945355,228.40432067567463,-3442228.020373443,-278953.07615813037,17495.536796913417,296448.61295504373,15792.628371147965,3458020.648744591,50.04794017531876,11.5
49,3,-260.29531032884466,-243.3472910730549,-234.310736178875,-166624.91983454765,-58933.23329081555,-55133.338775598495,-52566.18259703791,-0.8556342944964871,-0.8563517036163281,-0.8544100302810173,-0.8593353372473761,-15395.499243538034,229.08343749999997,228.81814485378007,229.57076388888888,-3446076.1694508237,-279299.02172360657,17506.636568738813,296805.65829234535,15798.716496147967,3461874.885946972,50.046986158625565,11.5
49,4,-256.41843356953433,-238.41581961520947,-230.12034107468125,-164889.4431625683,-58449.288190004554,-54358.49074556011,-52097.77015744536,-0.8522647389555007,-0.8531397763357869,-0.8507873296654727,-0.8581593328109932,-13971.853604963571,230.55484232695812,230.30484203517472,231.1889831444873,-3450159.512412378,-279669.564006491,17514.32263024675,297183.88663673773,15802.497329481297,3465962.009741859,50.05160681828796,11.5
49,5,-114.42196433641762,-104.40369461664447,-99.94748901411657,-70409.1915102459,-24802.774250569215,-23268.351142418032,-22340.213516222677,0.039769546903460816,0.01828131128011373,-0.07652645795515599,-0.13160040414389804,-3676.1056070127506,230.4030105874317,230.1042605874317,231.00502333788708,-3453091.1347313668,-279886.2236171467,17531.328798279537,297417.55241542624,15816.12958699496,3468907.263901695,50.05317688482497,11.5
49,6,-53.207704861111104,-46.45761458333333,-44.47213194444444,-28914.758555555556,-9858.009149305555,-9592.307767361111,-9457.887854166665,0.4553409722222222,0.4499371527777778,0.3233815972222222,0.21462673611111108,-317.4364340277778,230.05395833333333,230.0086458333333,230.67819444444444,-3454280.1651651096,-279940.917199797,17559.283671913417,297500.20337171044,15847.707746147966,3470127.879994591,50.05785763888889,11.5
50,0,-115.32123668173915,-104.95632348917293,-101.29240834256954,-70434.3864771744,-24668.41193340164,-23245.36891330829,-22514.728600979055,0.04216192333158877,0.043592535852568975,-0.053555758979414225,-0.12742810143634745,-4673.96279075592,229.45242912533865,229.3536606046248,230.0932892265654,-3455480.9253768586,-279995.612722338,17589.70426959101,297585.316991929,15880.43146199496,3471361.3568388536,50.06357263204643,11.5
50,1,-179.2777775500911,-166.46488191526612,-160.3313745460616,-114904.16223622496,-40670.42561640482,-37904.647767531875,-36333.68607821038,-0.32700726334932884,-0.37703511110220717,-0.43812347166656557,-0.44877059995446267,-9019.868646630237,230.0243949512865,229.80800489526413,230.6455777550091,-3457168.3640329377,-280114.3832482943,17608.56512341615,297722.9475383771,15901.64096165343,3473070.003744591,50.07089247495446,11.5
50,2,-286.20460257285976,-266.946824965847,-259.26509170081965,-184880.50326782934,-65295.34409392076,-60764.88551423042,-58591.323679530964,-0.9911470969945354,-0.9935676400273223,-0.9930037283697631,-0.9819153973132968,-15403.19567238393,229.59867372495447,229.23296789617484,230.1851992258652,-3461138.4168317765,-280434.33803313033,17611.513671913417,298045.85170504375,15903.045246147964,3477041.4620779245,50.06022188069216,11.5
50,3,-284.99835758196724,-267.3233764230419,-259.71013780737707,-184672.231259449,-65075.60486760019,-60931.40431841986,-58666.85197256375,-0.9914449176204595,-0.9939232869079336,-0.9936124924952426,-0.9814563895298556,-15331.012713911658,229.7346243567297,229.4124754132736,230.17684678789547,-3465567.6536760386,-280802.5277633216,17613.33138024675,298415.854560235,15903.045246147964,3481470.6989221866,50.05994126812315,11.5
50,4,-284.9486046789618,-265.79479126821496,-258.19549237249544,-184682.39472301913,-65301.62409972678,-60792.74364936248,-58574.33916757741,-0.991336424897828,-0.993778188947573,-0.9932201418067227,-0.981578085728827,-15169.244921106556,230.61388003015415,230.2861731557377,231.13120586417628,-3469997.2999396995,-281170.4767819919,17615.922908024528,298786.3996900164,15903.045246147964,3485900.345185848,50.0539582679032,11.5
50,5,-282.65170472558333,-263.6324307371628,-253.63130491267543,-182949.21714527498,-64862.294492253226,-60399.15894995229,-57699.17469669421,-0.9855374775183297,-0.9874694502801121,-0.9870149250068879,-0.9765294455828779,-14228.21468394917,231.17666185855737,230.8559261094097,231.8563810282765,-3474408.1614151094,-281530.5300470192,17618.82249135786,299149.3525383771,15903.141496147966,3490311.3029112574,50.057694962798415,11.5
50,6,-285.0666477060086,-266.34031574453553,-256.58513507513663,-184841.30171493627,-65432.54781682605,-61052.90557729963,-58350.269544512754,-0.9894758567441563,-0.9922145273104069,-0.9921659359105545,-0.9804562794136134,-14536.054197062842,231.31678272924805,231.05246403990972,231.95634796661045,-3478817.0100626503,-281874.4939176932,17621.912213580083,299496.40613127325,15903.255246147966,3494720.2653087988,50.04432983385857,11.5
51,0,-285.33852789162114,-265.46932024134793,-256.0324718806922,-184637.11165243623,-65522.824355532786,-60884.56194478597,-58226.29315334699,-0.990503405563662,-0.99347327383262,-0.9932826333402214,-0.9808224897540984,-16666.899069785974,231.15668942098696,230.8980430327869,231.88342725409834,-3483247.8554110113,-282254.3300572651,17626.077074691195,299880.4071319563,15903.255246147966,3499151.1106571592,50.05506876138434,11.5
51,1,-286.3330874425362,-267.28794704386763,-258.01200864938414,-184626.1835536148,-65338.269762685406,-60938.66033325202,-58347.94981162721,-0.9912035960946309,-0.9936471259337069,-0.9936916240695902,-0.9817760652485038,-15898.475363355452,229.66776324600878,229.43498563405328,230.37487816050827,-3487675.9439151096,-282648.57199146366,17628.940546913418,300277.5125383771,15903.255246147966,3503579.1991612576,50.05418695246769,11.5
51,2,-285.13671237477234,-265.1472291666667,-256.27724425091077,-184669.78294410292,-65491.30073224044,-60826.892728255916,-58361.70927811931,-0.9911289535726904,-0.9933952518825807,-0.9932216152296517,-0.9817723931390513,-15638.880921789618,231.18789105167536,230.95304726663053,231.95546846539162,-3492104.6714834156,-283024.7726950156,17631.939296913417,300656.711991929,15903.255246147966,3508007.9267295636,50.055801268787576,11.5
51,3,-284.6617206284153,-262.9291923952641,-254.02082280282332,-184704.37559221312,-65774.54236794171,-60656.14670969945,-58274.20559744991,-0.991089726785523,-0.9932547857792029,-0.9926728948597404,-0.9825018784153006,-14214.136595969945,232.6453045309654,232.4406534464879,233.5373528502931,-3496534.99892194,-283387.5102769828,17635.078046913415,301022.5883238962,15903.255246147966,3512438.254168088,50.057808800091074,11.5
51,4,-286.4322747395833,-264.90949392361114,-255.00586328125,-184971.8026857639,-65894.95033072917,-60783.17522612848,-58288.845941406245,-0.9916948784722223,-0.9931017795138889,-0.9922080197132616,-0.983361559139785,-11800.304832465277,231.59778211805553,231.3024392361111,232.45843943115804,-3500969.927248443,-283698.85442201927,17638.241658024526,301337.09358004376,15903.255246147966,3516873.1824945905,50.05692751736111,11.5
51,5,-273.87622102686703,-255.3487046334244,-246.42910001138432,-177167.6460866348,-62684.28645628415,-58359.65084596995,-56126.77532752732,-0.9564182459692817,-0.957702429850582,-0.9536621822853454,-0.9507095379178591,-8491.098607809654,230.9295120369818,230.7130092241541,231.63138863768322,-3505329.9511897,-283943.5164876504,17646.800019249484,301590.31650689984,15903.786912814634,3521233.7381025143,50.05090299464754,11.5
51,6,-249.83485724043715,-232.04021761156648,-223.86839976092895,-161304.27231443534,-57146.23117651412,-53044.969020719494,-51122.35848611111,-0.8502558373896006,-0.8487583674863388,-0.8421778688524589,-0.8574246869307832,-6140.051029883881,232.09878472222223,231.91586766759778,232.8558306685085,-3509428.7201651097,-284117.46480396367,17660.424574691195,301777.8893786548,15906.7442044813,3525335.4643695913,50.051691284573934,11.5
52,0,-254.02691319444443,-237.23413194444444,-228.6968263888889,-164845.01638541665,-58249.626375,-54364.369798611115,-52223.78782638889,-0.8786847222222223,-0.8783763888888889,-0.872798611111111,-0.8819041666666667,-7712.772170138888,232.39836805555555,232.20027777777776,233.0267361111111,-3513294.0922484435,-284290.154699797,17681.131588580083,301971.2862883771,15911.740246147965,3529205.832494591,50.05792708333333,11.5
52,1,-263.8931465163934,-247.1063679417122,-237.77857416894355,-171344.71733230873,-60541.59399715392,-56606.361307490886,-54189.75830236794,-0.9097190296311727,-0.9079423476609737,-0.9059006688436768,-0.9098490711609757,-9871.5604734745,232.01244299350924,231.76879359483257,232.61520925425927,-3517266.867965656,-284473.85885621776,17699.01138024675,302172.8702364645,15915.8835794813,3533182.7515451373,50.052926262406395,11.5
52,2,-285.84451775956285,-268.37944825819676,-256.5120548155738,-184933.9936257969,-65467.395999886154,-61305.26580680784,-58149.785418829684,-0.9902999513163401,-0.9932266944533484,-0.9924683160615344,-0.9809562044626593,-13679.416828096539,230.60735428051,230.1496806693989,231.12787816662595,-3521584.845991613,-284789.33317429613,17704.668353152032,302494.0015274481,15916.945246147969,3537501.7912377603,50.04879562344063,11.5
52,3,-281.3073611111111,-261.2680555555556,-251.7260138888889,-182143.12449305554,-64658.71358333333,-59931.492590277776,-57552.56161805556,-0.9753124999999999,-0.9753371527777778,-0.9739878472222222,-0.9686052083333334,-9544.85665625,231.71427083333333,231.4335763888889,232.46385416666666,-3525985.4001651094,-285052.03831090813,17715.132560802303,302767.1708717104,15917.311912814634,3541902.7120779245,50.040940972222224,11.5
52,4,-281.9261576730419,-261.83183037340615,-252.41683014571947,-182588.96474442168,-64802.79423576958,-60064.34356762295,-57727.808607695806,-0.9805631346132365,-0.9811872107660266,-0.978748396562624,-0.9730240183175289,-9101.080322859745,231.64677049625527,231.37493908016847,232.401930826035,-3530360.7108208477,-285285.41505840357,17724.034713580084,303009.4497719836,15917.752329481302,3546278.4631503285,50.052547712785774,11.5
52,5,-261.0811759448998,-244.8703782445355,-234.84024117714026,-170350.46229143898,-60172.15031671221,-56345.34351593807,-53837.40327698088,-0.9076798611111111,-0.9050288042387212,-0.9019079861111111,-0.9059837163776506,-7811.775707308744,232.93792008196718,232.59163763661203,233.46937499999999,-3534573.768498443,-285481.09240813035,17733.815546913414,303214.9079550438,15919.783162814636,3550493.551661258,50.05341968351548,11.5
52,6,-279.5680422812278,-261.0039809428159,-252.21221582094563,-181130.6633907771,-63998.33516363342,-59665.54086299435,-57465.2629542369,-0.9703742855624049,-0.9687949404761905,-0.967452380952381,-0.9640551380661554,-7614.551034482759,231.00676883053657,230.81871276093992,231.68871408045973,-3538821.01766511,-285682.4251164637,17742.095338580082,303424.5200383771,15921.521912814635,3554742.539577924,50.05021884960686,11.5
