week,weekday,P,Tdiff,Trl,Tvl,V,W,qv,hour
48,4,0.0,-379.95640294606795,17.293478260869566,16.942753623188405,668209300.0,459500.0,0.0,12.0
48,5,0.0,-212.85763888888889,18.37951388888889,17.943402777777777,668209300.0,459500.0,0.0,11.5
48,6,0.0,-180.95833333333334,17.371180555555554,17.394444444444442,668209300.0,459500.0,0.0,11.5
49,0,0.0,-155.80902777777777,17.563541666666666,17.585069444444443,668209300.0,459500.0,0.0,11.5
49,1,0.0,-169.1909722222222,17.550694444444442,17.287499999999998,668209300.0,459500.0,0.0,11.5
49,2,399.5833333333333,-806.4236111111112,15.729861111111111,14.701388888888888,668211545.8333334,459545.8333333333,0.18958333333333335,11.5
49,3,0.0,-813.4409722222222,15.895138888888889,15.041666666666666,668214200.0,459600.0,0.0,11.5
49,4,0.0,-418.9791666666667,17.441319444444442,16.998611111111114,668214200.0,459600.0,0.0,11.5
49,5,0.0,-256.64236111111114,18.104166666666668,17.963194444444444,668214200.0,459600.0,0.0,11.5
49,6,0.0,-195.5485819327731,18.40625,17.92152777777778,668214200.0,459600.0,0.0,11.5
50,0,0.0,-162.73611111111111,18.647569444444443,18.672569444444445,668214200.0,459600.0,0.0,11.5
50,1,0.0,-121.21180555555556,19.278472222222224,19.110763888888886,668214200.0,459600.0,0.0,11.5
50,2,468.6805555555556,-515.0590277777777,16.994791666666668,16.429166666666667,668216445.8333334,459600.0,0.19347222222222227,11.5
50,3,0.0,-559.3229166666666,17.25138888888889,16.74861111111111,668219100.0,459600.0,0.0,11.5
50,4,0.0,-310.31944444444446,19.215625,18.756249999999998,668219100.0,459600.0,0.0,11.5
50,5,0.0,-203.67700659914055,19.610416666666666,19.598263888888887,668219100.0,459600.0,0.0,11.5
50,6,0.0,-145.28819444444443,19.446493624772312,19.38191029143898,668219100.0,459600.0,0.0,11.5
51,0,0.0,-139.69097222222223,19.534375,19.455555555555556,668219100.0,459600.0,0.0,11.5
51,1,0.0,-148.37847222222223,19.857291666666665,19.705902777777776,668219100.0,459600.0,0.0,11.5
51,2,435.4861111111111,-574.6215277777777,17.49652777777778,16.952430555555555,668221391.6666666,459600.0,0.18180555555555558,11.5
51,3,0.0,-617.8125,17.398611111111112,16.85902777777778,668224100.0,459600.0,0.0,11.5
51,4,0.0,-367.5555555555556,19.04201388888889,18.66701388888889,668224100.0,459600.0,0.0,11.5
51,5,0.0,-254.58680555555554,19.721180555555556,19.084722222222222,668224100.0,459600.0,0.0,11.5
51,6,0.0,-193.36805555555554,19.95277777777778,19.14270833333333,668224100.0,459600.0,0.0,11.5
52,0,0.0,-174.13888888888889,19.81388888888889,19.288541666666667,668224100.0,459600.0,0.0,11.5
52,1,0.0,-180.5972222222222,19.988541666666666,19.961805555555554,668224100.0,459600.0,0.0,11.5
52,2,405.90277777777777,-500.1423611111111,17.52638888888889,17.083333333333332,668226350.0,459600.0,0.1983333333333334,11.5
52,3,0.0,-482.8923611111111,17.730208333333334,17.241666666666667,668229000.0,459600.0,0.0,11.5
52,4,0.0,-278.69097222222223,19.59409722222222,19.36423611111111,668229000.0,459600.0,0.0,11.5
52,5,0.0,-179.33333333333334,19.95173611111111,19.516666666666666,668229000.0,459600.0,0.0,11.5
52,6,0.0,-139.36805555555557,20.633055555555554,20.29909722222222,668229000.0,459600.0,0.0,11.5
