week,weekday,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,hour
48,4,-256.7748960188743,-242.38835959430452,-231.92964832833474,-166426.7373397261,-58633.35033635793,-55361.849952405704,-52431.544753129936,-0.8560086313157759,-0.861196092949532,-0.8593046123966167,-0.8626110658920356,230.6416261080259,230.24786051179632,231.01481291901334,-801283.724866266,-282861.98486862844,-264450.1131395521,-253971.62410594607,3845.16998134807,805138.1494261076,50.00430464908689,12.0
48,5,-206.62954240152825,-194.70856976693494,-186.81649699154536,-132292.789470842,-46417.586751345625,-43943.17181208902,-41931.859157393206,-0.6351478465795091,-0.6393413780342875,-0.6341739547275244,-0.6723037291165651,229.48416828531174,229.18578019437163,229.84576790605874,-804873.1605788787,-284124.92071880173,-265642.74228599074,-255105.50002743836,3852.9728229166662,808735.3997335563,50.00631909641913,11.5
48,6,-226.79777186651515,-212.4710436108203,-205.08023657206613,-145564.01125214758,-51197.34087315977,-48111.0885351783,-46255.23482825063,-0.7179885709625258,-0.7241137144436017,-0.7194596354159422,-0.7490503389712321,229.958304008169,229.75610012740853,230.4755395308234,-808198.9713570395,-285292.2482817731,-266745.8972547322,-256160.8270274523,3864.7018403126567,812072.953418444,50.00517214745258,11.5
49,0,-280.2514323041227,-260.54501607681453,-251.71030140720316,-179927.09305423914,-63817.10635009041,-59289.561941458225,-56820.20793827396,-0.9625777152566828,-0.9699855653012714,-0.9698748375317487,-0.9611997904212024,229.42203782640968,229.19245314844463,230.16657233852445,-812099.6753508075,-286670.66537101474,-268031.4698767705,-257397.53902329472,3870.383,815979.3425419134,49.987295254848306,11.5
49,1,-254.4498620448475,-237.7861762159511,-229.39695177595442,-162613.1473308206,-57476.334141746986,-53719.139742965286,-51417.669638670224,-0.8538677568704646,-0.860334392024379,-0.8580502755056222,-0.864397553459912,228.3711726102149,228.0208537964331,228.87785116450326,-816259.4681305849,-288144.4582922284,-269404.38984542846,-258710.62142431576,3872.741624999999,820141.50155416,49.996312887182086,11.5
49,2,-244.13899577963718,-228.9333789674606,-220.13213794846024,-155563.19929283386,-54915.80534845798,-51536.45442681458,-49111.65539192786,-0.7921981016509246,-0.7971915970457052,-0.7933684747010107,-0.8019410813346864,228.04587683090804,227.6090093087607,228.4316375337498,-819939.7161548116,-289444.3334944277,-270621.75970726984,-259873.61573635277,3879.858143596932,823828.8659315282,49.99518757005487,11.5
49,3,-260.17796611821433,-243.43291794026027,-234.49875856424936,-166709.44252506515,-58929.681796464305,-55157.37338928693,-52622.38726103519,-0.852899481723539,-0.8585864982449429,-0.8567626203011861,-0.8618855766338441,229.08452845052355,228.76542190743382,229.58266764591284,-823793.0299999845,-290804.3281027659,-271898.1886146768,-261090.51038233025,3885.975187396547,827688.3073019114,49.99538428740166,11.5
49,4,-256.35169123843673,-238.5032309017984,-230.30189480781303,-165059.72802287372,-58468.21979135626,-54402.94333678303,-52188.56486030031,-0.8517157325992594,-0.8574378124681594,-0.8552412321274625,-0.8634005512110944,230.57776051598708,230.27012172122684,231.22242886422762,-827882.2940925928,-292251.9956829578,-273248.20248315536,-262382.0939439744,3889.7708635806334,831781.3716603915,49.99586160385445,11.5
49,5,-114.34962138169833,-104.3614513868399,-99.87997412310499,-70507.79962447281,-24825.103210285266,-23298.026095775498,-22384.66963874586,-0.006438799279098853,0.048133921112122335,0.07209942464607637,0.00705338596022366,230.41499500185202,230.06559705433753,231.02339732382143,-830817.9035064838,-293290.8865990093,-274216.34815751173,-263310.6725635798,3903.4485795726155,834730.6807012471,49.99726197560431,11.5
49,6,-53.0618819033665,-46.34945298766411,-44.37811785359446,-28942.141484823966,-9861.90583907401,-9597.741123764674,-9482.496314821768,0.41922149310172846,0.4697358766511804,0.5005870938505687,0.38326811555805707,230.06915671249854,229.9645193585809,230.69295034967823,-832008.6230931724,-293705.6806249787,-274610.6688594978,-263692.2819155722,3935.112960102197,835953.0911531987,50.0022551928893,11.5
