week,weekday,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,hour
50,0,-115.09657678500804,-104.81365028896613,-101.15200491796399,-70415.15185885118,-24641.492359443775,-23242.644130712764,-22529.225599829006,0.02544948996787157,0.04765656447596578,0.06874171800468977,-0.010944668925143832,229.4428463895373,229.28766951678858,230.08378518374528,-833211.2095178753,-294123.9916713106,-275007.3530534807,-264079.87247134815,3967.916723843227,837188.5034755183,50.005564981349146,11.5
50,1,-179.1385638007828,-166.44763801610685,-160.33390112815604,-114952.11440560456,-40665.35812671357,-37917.86538043286,-36367.571402243426,-0.40343281258525937,-0.32560348443749054,-0.30420431199215525,-0.31830174211653794,230.0118317142468,229.73774045800403,230.6310632982796,-834900.6219003747,-294716.93468967074,-275565.73904877994,-264617.9541477898,3989.1700540628194,838899.1785761239,50.01146744747005,11.5
50,2,-286.00725676748385,-267.046662046822,-259.3252672370083,-184721.77729561224,-65270.93063271524,-60801.31960973732,-58650.155002164865,-0.9901802095010804,-0.9981267931021067,-0.997989257405059,-0.986809778500779,229.59200535108278,229.170045346884,230.1807261747862,-838874.774772534,-296122.87550829287,-276874.7908917709,-265877.11076461634,3990.57425,842874.7328521801,50.0031551149546,11.5
50,3,-284.79803432249724,-267.3460808462372,-259.79543960817523,-184741.42554992953,-65055.02611874053,-60953.71837970067,-58732.681214930526,-0.9903474712035082,-0.9981684152208081,-0.998314019595424,-0.9861890322029024,229.73122568639175,229.3536679018072,230.17560172236176,-843308.3365670281,-297686.620704865,-278335.7142786837,-267285.9952332782,3990.57425,847308.285904327,50.002869513464276,11.5
50,4,-284.7634131253409,-265.9356778565313,-258.3668736564987,-184740.15301115427,-65278.445811733174,-60828.189018011144,-58633.51822303477,-0.9900605318211677,-0.9981394113066169,-0.9980232779268965,-0.9862519479051576,230.599405273078,230.20720587205744,231.11755968730617,-847742.1438665589,-299249.5307378751,-279797.4206317552,-268695.1870643611,3990.57425,851742.0941214914,50.002403564876516,11.5
50,5,-282.4548175452081,-263.64043872425356,-253.68050286821708,-183003.80750684024,-64841.17697848671,-60413.59635757771,-57749.03418528655,-0.984124284431651,-0.9932741921619802,-0.9933554264609677,-0.9830223742482218,231.163585341343,230.78859567693613,231.84638393923987,-852156.9169118294,-300812.52357320994,-281252.34371161077,-270092.05502841703,3990.671416666666,856156.975568446,50.004443737280845,11.5
50,6,-284.90998974026587,-266.34435677968366,-256.64362520795316,-184877.10289756872,-65408.93105441576,-61066.5665612239,-58401.60538308011,-0.9888955885430691,-0.9984122044903619,-0.998811064558709,-0.9871827574860758,231.30662886293703,230.98747169744706,231.95179566947854,-856569.8255406978,-302375.1955752081,-282709.97990834876,-271484.6493257091,3990.786249999999,860569.993371766,49.99182694929225,11.5
51,0,-285.22123508120814,-265.5445133746882,-256.1732998355521,-184727.66670125313,-65521.03539674731,-60913.38787521524,-58293.53535265933,-0.9898113181889922,-0.9976018878830762,-0.9978258514565489,-0.9854137924317531,231.16055799163698,230.84484857762524,231.888096401154,-861004.9213258219,-303946.2456142492,-284173.4268475769,-272885.2468041259,3990.786249999999,865005.0878284519,50.00070201854303,11.5
51,1,-286.1973644221135,-267.3596332220058,-258.1336850332993,-184714.6993802771,-65337.002478889604,-60966.54007561147,-58411.156819162214,-0.9902200134586492,-0.9977412509024188,-0.9981059799191686,-0.9860885030249169,229.68892209131673,229.39451711808087,230.40110666964313,-865438.134465328,-305516.22819201596,-285636.13408067357,-274285.7719130347,3990.786249999999,869438.3027482242,49.99962308791543,11.5
51,2,-284.9145101469317,-265.5236209085883,-256.74289957857815,-184750.2503951433,-65552.54131647467,-60824.87019270492,-58373.452887785425,-0.9900684575421238,-0.9978386935118645,-0.9979737756111146,-0.9865119727004577,231.0172218495205,230.6801932329112,231.73589122395734,-869871.9858187699,-307086.17543177115,-287097.8450683582,-275687.9678008188,3990.786249999999,873872.1430868349,49.999489820445824,11.5
51,3,-285.26295335775507,-266.6441912737292,-258.807900265505,-184918.94499955184,-65727.18906948129,-60756.64434122821,-58434.48059135561,-0.990381070534074,-0.9983046288560363,-0.9983976484045388,-0.9870352812758246,230.07196359907172,229.70715885005427,230.63263275846006,-874307.0206869234,-308661.8821248005,-288556.66178462276,-277088.48333146045,3990.786249999999,878307.1794642591,50.00200317597548,11.5
51,4,-286.3744091094595,-265.0014482802828,-255.10260054649902,-185066.6999587787,-65885.80706917282,-60825.91129021464,-58354.37177121264,-0.990160487985691,-0.9990729319190327,-0.9989936741050212,-0.9902066279778338,231.5891380412422,231.2404774707137,232.4521895141354,-878746.3133145986,-310240.3662272049,-290015.1229342779,-278490.8244413189,3990.786249999999,882746.4822169893,50.00355721166422,11.5
51,5,-273.60264460213017,-255.30239499342585,-246.41566583554834,-177163.58983815296,-62644.59013074316,-58358.314472573875,-56160.68531730181,-0.9527231425506114,-0.9626249414443343,-0.9618547086657411,-0.9587993531470382,230.91131008702385,230.63357692161264,231.61433642677852,-883110.3173383652,-311789.89097573934,-291450.5904033655,-279869.84066954924,3991.321333333333,887111.028548654,49.99631363432014,11.5
51,6,-249.62173404602655,-231.97524018357785,-223.88788901075043,-161294.10077298243,-57106.77934755074,-53031.10197444102,-51156.343366203735,-0.8462425807818951,-0.8571555961122773,-0.8546688807329188,-0.8687910239514443,232.0732238748112,231.83049183538307,232.8262690167521,-887212.1401701238,-313240.4940336385,-292800.60035466886,-281171.0452646749,3994.29093896632,891215.8265446998,50.00037689104436,11.5
52,0,-253.84226751129344,-237.24125261294526,-228.74184539473393,-164826.17596781778,-58207.34071765839,-54356.94285039901,-52261.89224912043,-0.8744640424466453,-0.8850253123299976,-0.8831237328897328,-0.8918747525031518,232.3639912624384,232.1085564497741,232.99476959584103,-891080.2502644319,-314609.07463420444,-294074.9834738413,-282396.1893652841,3999.303025410285,895088.9615944205,50.00453512053634,11.5
52,1,-263.6393447638627,-247.05641904348263,-237.6727350684122,-171277.06766372523,-60475.5077269197,-56598.7128431464,-54202.78389553574,-0.9078627777948535,-0.9181103589942028,-0.9165924015868407,-0.9190941024291875,231.97894526602087,231.67677098881447,232.5833404538166,-895056.116506653,-316013.1623315339,-295384.8223791529,-283658.1291443254,4003.4623186471367,899069.0005995603,50.003838841564054,11.5
52,2,-285.5210443668968,-268.39193417655997,-256.5214620502279,-184914.4548914526,-65412.784631950904,-61309.52380576387,-58192.1465781203,-0.9895640596771361,-0.9988872694090075,-0.9989205851178427,-0.9874464146478861,230.58347053289546,230.07263266892073,231.10520867569008,-899377.3330450957,-317538.0465413576,-296819.49095010833,-285019.8065870608,4004.52425,903391.2960785268,49.99526316734816,11.5
52,3,-281.04755950605113,-261.3241765771068,-251.7548227142454,-182148.8547156316,-64617.3842857661,-59942.71094804868,-57588.759557231904,-0.97335386664173,-0.9827069044348259,-0.9823378941571734,-0.9767561657381524,231.69959989283646,231.3609500945579,232.4507076633473,-903781.7542730098,-319099.8320072534,-298272.28377016727,-286409.6357004519,4004.894041666666,907796.0741549559,49.989164581272746,11.5
52,4,-281.57296986156206,-261.8182482807027,-252.33836072804112,-182538.41721658292,-64742.144046501315,-60058.86632777802,-57737.4149964544,-0.9778090319601486,-0.9872560917412888,-0.9868310608552068,-0.9806897201190021,231.6216278959141,231.29178319561058,232.37776676144844,-908160.5233524657,-320652.4229034354,-299713.998002864,-287794.0968006985,4005.337708333334,912175.2861210605,49.99931537412496,11.5
52,5,-260.9626400209924,-244.95224811471903,-234.91733870618387,-170377.94305151305,-60142.08065153466,-56353.91942076341,-53882.436421383805,-0.9026688858195272,-0.9125254644909258,-0.9113227424968957,-0.9156412571021656,232.90347802913473,232.49884716554666,233.43388069205903,-912377.0411742056,-322146.1853304003,-301102.92609118746,-289127.93807798834,4007.376024887799,916393.861356221,49.99964374246329,11.5
52,6,-279.32477607586594,-261.0266489210973,-252.14444563124118,-181147.91667938072,-63966.553020229185,-59675.440086047514,-57506.457065355375,-0.9668684036307625,-0.9768742006982718,-0.9765081126467264,-0.9727233706837866,230.9784350531504,230.73115451962815,231.66194087762963,-916627.619717088,-323646.2536904529,-302507.425220177,-290473.9358094887,4008.8704374999993,920646.175428452,49.99693840923521,11.5
