meter_urn,target_column,rank,column,corr,abs_corr
H1.Z20,P,1,P1,0.999595,0.999595
H1.Z20,P,2,P2,0.999593,0.999593
H1.Z20,P,3,P3,0.999569,0.999569
H1.Z20,P,4,I2,0.99941,0.99941
H1.Z20,P,5,I3,0.999391,0.999391
H1.Z20,P,6,I1,0.999265,0.999265
H1.Z20,P,7,PF3,0.975307,0.975307
H1.Z20,P,8,PF1,0.975039,0.975039
H1.Z20,P,9,PF,0.973618,0.973618
H1.Z20,P,10,PF2,0.973316,0.973316
H1.Z20,P,11,Q,0.904482,0.904482
H1.Z20,P,12,H,0.609402,0.609402
H1.Z20,P,13,Ta,0.605434,0.605434
H1.Z20,P,14,rho,-0.574679,0.574679
H1.Z20,P,15,Dp,0.529241,0.529241
H1.Z20,P,16,Ah,0.522722,0.522722
H1.Z20,P,17,Ua,-0.293524,0.293524
H1.Z20,P,18,Igm,0.266041,0.266041
H1.Z20,P,19,Igc,0.264786,0.264786
H1.Z20,P,20,U3,-0.199185,0.199185
H1.Z20,P,21,U1,-0.105851,0.105851
H1.Z20,P,22,Sc,-0.081725,0.081725
H1.Z20,P,23,U2,-0.077874,0.077874
H1.Z20,P,24,f,0.076426,0.076426
H1.Z20,P,25,Dc,-0.010639,0.010639
H1.Z20,P,26,W_in,-0.005039,0.005039
H1.Z20,P,27,WQ_in,-0.003565,0.003565
H1.Z20,P,28,W,-0.001195,0.001195
H1.Z20,P,29,W_out,0.001169,0.001169
H1.Z20,P,30,WQ_out,-0.000436,0.000436
H1.Z20,P,31,WQ,0.000238,0.000238
H1.ZE20,P,1,P2,0.999969,0.999969
H1.ZE20,P,2,P3,0.99995,0.99995
H1.ZE20,P,3,P1,0.999947,0.999947
H1.ZE20,P,4,I3,0.998409,0.998409
H1.ZE20,P,5,I2,0.9984,0.9984
H1.ZE20,P,6,I1,0.998309,0.998309
H1.ZE20,P,7,PF1,0.977732,0.977732
H1.ZE20,P,8,PF2,0.977575,0.977575
H1.ZE20,P,9,PF,0.977382,0.977382
H1.ZE20,P,10,PF3,0.971151,0.971151
H1.ZE20,P,11,Ta,0.556817,0.556817
H1.ZE20,P,12,H,0.53926,0.53926
H1.ZE20,P,13,rho,-0.526301,0.526301
H1.ZE20,P,14,Dp,0.453637,0.453637
H1.ZE20,P,15,Ah,0.447886,0.447886
