meter_urn,feature,ts,observed,trend,seasonal,residual,upper,lower,is_anomaly
H1.Z20,P,2018-01-01 00:00:00+00:00,-116945.95383333336,-97966.8708946602,198.02640507403623,-19177.1093437472,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 01:00:00+00:00,-185698.19316666664,-97925.67442934132,-13337.734080492231,-74434.78465683309,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 02:00:00+00:00,-144207.2835,-97885.35980780145,13161.879894054444,-59483.80358625298,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 03:00:00+00:00,-164294.822,-97845.92732605136,-56453.581809013245,-9995.31286493539,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 04:00:00+00:00,-189071.0323333333,-97807.37548503574,-28318.29501983902,-62945.361828458554,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 05:00:00+00:00,-189282.01316666664,-97769.70182428988,-25571.828114801527,-65940.48322757524,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 06:00:00+00:00,-189104.5312204301,-97732.90206011865,-25019.945339443406,-66351.68382086806,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 07:00:00+00:00,-189114.8995,-97696.96974085286,-24967.277923149533,-66450.65183599762,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 08:00:00+00:00,-188934.23066666667,-97661.89621687522,-74511.77923217439,-16760.55521761706,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 09:00:00+00:00,-188995.1748333333,-97627.67088200929,-83749.42306432029,-7618.080887003714,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 10:00:00+00:00,-185248.83948387095,-97594.28221987808,-82457.95228331497,-5196.604980677905,110767.4877154611,-110761.67896921346,False
H1.Z20,P,2018-01-01 11:00:00+00:00,-156596.32312903227,-97561.7182468327,-71074.45215433941,12039.847272139828,110767.4877154611,-110761.67896921346,False
