meter_urn,thermal_mode,group_name,description,period_type,period_label,row_count,measurement_count,measurement_columns,joined_weather_columns,usable_column_count,usable_columns,start_ts,end_ts,mean_null_ratio_usable,pair_count,top_pair,top_corr,top_abs_corr,error
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2018,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2018-12-31 23:00:00+00:00,0.042754,136,Igc~Igm,0.999171,0.999171,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2019,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-01-01 00:00:00+00:00,2019-12-31 23:00:00+00:00,0.005171,136,Igc~Igm,0.999227,0.999227,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2020,8784,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2020-01-01 00:00:00+00:00,2020-12-31 23:00:00+00:00,0.012121,136,Igc~Igm,0.999193,0.999193,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2021,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2021-01-01 00:00:00+00:00,2021-12-31 23:00:00+00:00,0.014907,136,Igc~Igm,0.998941,0.998941,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2022,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.008797,136,Igc~Igm,0.999111,0.999111,
V.K21,cooling,cooling_thermal,중앙 냉수 공급 메인,yearly,2023,8759,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2023-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.0,136,Igc~Igm,0.999076,0.999076,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2018,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2018-12-31 23:00:00+00:00,0.044118,136,Igc~Igm,0.999171,0.999171,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2019,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-01-01 00:00:00+00:00,2019-12-31 23:00:00+00:00,0.005171,136,Igc~Igm,0.999227,0.999227,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2020,8784,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2020-01-01 00:00:00+00:00,2020-12-31 23:00:00+00:00,0.012121,136,Igc~Igm,0.999193,0.999193,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2021,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2021-01-01 00:00:00+00:00,2021-12-31 23:00:00+00:00,0.014907,136,Igc~Igm,0.998941,0.998941,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2022,8760,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2022-01-01 00:00:00+00:00,2022-12-31 23:00:00+00:00,0.008797,136,Igc~Igm,0.999111,0.999111,
H1.K11,cooling,cooling_thermal,HVAC 3&5,yearly,2023,8759,7,"P,Tdiff,Trl,Tvl,V,W,qv","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",17,"P,Tdiff,Trl,Tvl,V,W,qv,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2023-01-01 00:00:00+00:00,2023-12-31 22:00:00+00:00,0.0,136,Igc~Igm,0.999076,0.999076,
