measurement,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f
I1,1.0,0.9987970013441382,0.9986417504054947,0.980341824768567,0.9953233487068296,0.9942828511621286,0.9947721332924675,-0.558469228208625,-0.20653341811428969,-0.13875136355529968,0.8662449656276818,0.9913915807285987,-0.2092893799890532,-0.2166546196406271,-0.25859865606417903,0.02135042694718676,0.020285835188906726,0.02028621112548403,0.02837742866710482,0.021350426510914636,0.009485379256815958,0.39334151838327297
I2,0.9987970013441382,1.0,0.9989091247053168,0.9815843817744865,0.9961410571888721,0.995527011801579,0.9956399923739974,-0.5577507991926576,-0.20549411660097203,-0.13600227119072061,0.8677841881712534,0.9909210823235052,-0.21082173824676592,-0.2175333811059973,-0.25938369112320037,0.012458206977871792,0.011332658550981162,0.011332935017703355,0.020231066842023415,0.012458206403045728,0.0005807899600202535,0.39131488750197707
I3,0.9986417504054947,0.9989091247053168,1.0,0.9812355910710462,0.995922844110439,0.9954005593100521,0.9960919033136166,-0.5597178167130124,-0.20935111048040508,-0.13810679473973514,0.8683414450210012,0.990480256003949,-0.21352557603106964,-0.22070480229124187,-0.2612523380183356,0.013757168237453066,0.012554384255400937,0.012554709411981172,0.02196279459682795,0.013757167949216774,0.0032956116106744593,0.3863746483055779
P,0.980341824768567,0.9815843817744865,0.9812355910710462,1.0,0.9896617427949429,0.9896249990408479,0.9892620381202109,-0.5279049180825454,-0.1891805155981568,-0.10026300220506262,0.8629365294466559,0.9781729339738308,-0.21368055571969258,-0.2200792780690426,-0.26217135296848054,-0.0034385973819718043,-0.006014351167499102,-0.006016040452610087,-0.025425031903344074,-0.0034386013468807835,-0.031213129557631246,0.40116648745446454
P1,0.9953233487068296,0.9961410571888721,0.995922844110439,0.9896617427949429,1.0,0.9996809376512706,0.9995117731572178,-0.5406468654425146,-0.19586532281723015,-0.11503815732448736,0.8669056382135993,0.9830624901989283,-0.2167500810023925,-0.22346285298960894,-0.2662738902183078,-0.01008697138690086,-0.01167562092979309,-0.011676238942096082,-0.011584318602309813,-0.0100869732131123,-0.026318153589189333,0.3965680877861363
P2,0.9942828511621286,0.995527011801579,0.9954005593100521,0.9896249990408479,0.9996809376512706,1.0,0.9995481788832192,-0.5400918019604939,-0.1955486068067567,-0.11224913331370705,0.8670861896975741,0.981530292621287,-0.2179652067677957,-0.22409213462440059,-0.2655642254959381,-0.015963167720246557,-0.017689202496716572,-0.017690007549480708,-0.019054822513860786,-0.015963169805781528,-0.033060670928250935,0.39230468506273364
P3,0.9947721332924675,0.9956399923739974,0.9960919033136166,0.9892620381202109,0.9995117731572178,0.9995481788832192,1.0,-0.5432119283806206,-0.20038993618659215,-0.11672590106162854,0.8675855310262527,0.981851970951123,-0.21891095303459965,-0.2258824086998448,-0.2669626789700282,-0.009483886194757372,-0.011240766684136493,-0.011241505525508434,-0.013202067344806705,-0.009483887969913637,-0.025573749707043306,0.3928004426460737
PF,-0.558469228208625,-0.5577507991926576,-0.5597178167130124,-0.5279049180825454,-0.5406468654425146,-0.5400918019604939,-0.5432119283806206,1.0,0.8043802930000555,0.8523701724615714,-0.49605077231793593,-0.571452794367486,0.1076584461711879,0.10982719051237093,0.130428725843241,-0.1705726630996635,-0.16188482380555141,-0.16188425513225355,-0.11534824865682683,-0.17057267526273606,-0.21107865570656092,-0.16512591354454612
PF1,-0.20653341811428969,-0.20549411660097203,-0.20935111048040508,-0.1891805155981568,-0.19586532281723015,-0.1955486068067567,-0.20038993618659215,0.8043802930000555,1.0,0.7389717189203789,-0.17066316708511023,-0.21676123567142752,0.07873665498710054,0.080135442166354,0.07924905158566688,-0.16428822995953052,-0.15363841412675766,-0.1536369580506617,-0.09151810537821133,-0.16428824905654926,-0.2434794294655825,-0.01169017540211119
PF2,-0.13875136355529968,-0.13600227119072061,-0.13810679473973514,-0.10026300220506262,-0.11503815732448736,-0.11224913331370705,-0.11672590106162854,0.8523701724615714,0.7389717189203789,1.0,-0.13009689604081073,-0.1571281585596083,-0.003729965929833683,-0.004495895702447286,0.010822667006039214,-0.18919835516824896,-0.18272458689404852,-0.18272600947708872,-0.15936235305289068,-0.18919837096268913,-0.25106667020788864,-0.028307734469742933
PF3,0.8662449656276818,0.8677841881712534,0.8683414450210012,0.8629365294466559,0.8669056382135993,0.8670861896975741,0.8675855310262527,-0.49605077231793593,-0.17066316708511023,-0.13009689604081073,1.0,0.8627237292173594,-0.2782623720450281,-0.2857191969346796,-0.33393910058427256,0.010210882321506956,0.00766758701495006,0.007668154578198643,0.024654777653439312,0.010210881865129563,-0.0023738415810558664,0.41478106218395533
Q,0.9913915807285987,0.9909210823235052,0.990480256003949,0.9781729339738308,0.9830624901989283,0.981530292621287,0.981851970951123,-0.571452794367486,-0.21676123567142752,-0.1571281585596083,0.8627237292173594,1.0,-0.19170626395832463,-0.1988267674489688,-0.2409599851175794,0.03867873066579096,0.037552080745043355,0.03755270742951631,0.045088041341931354,0.038678730024497676,0.024283777299095567,0.3938838518318409
U1,-0.2092893799890532,-0.21082173824676592,-0.21352557603106964,-0.21368055571969258,-0.2167500810023925,-0.2179652067677957,-0.21891095303459965,0.1076584461711879,0.07873665498710054,-0.003729965929833683,-0.2782623720450281,-0.19170626395832463,1.0,0.9938440481880888,0.9835416647736744,0.22637630800210054,0.22704605299458536,0.22704055312671648,0.08949928409103039,0.22637629826523673,0.14032508513772435,0.0930506643239948
