measurement,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f
I1,1.0,0.9998207624054387,0.9998392031732831,0.9983579510258375,0.9982536205305046,0.9982978905334864,0.9984919496993322,-0.9450221865818497,-0.9076002389817129,-0.7074501371782782,0.9970787881571969,0.9965818631045398,0.01701304383543486,0.011929692338879416,0.007720604912405248,0.0563215724291533,0.050482098355723655,0.050482106458693526,,0.05632157242915329,,0.09365532630314434
I2,0.9998207624054387,1.0,0.9998715939650157,0.9983029735277661,0.9981680938133723,0.9982774833621204,0.9984395080060677,-0.9453811837708725,-0.9080031072072424,-0.7079042667669189,0.997193169845867,0.9966718636079827,0.016881375278670955,0.011911076420606315,0.007782128956502235,0.05593269470760455,0.05004166187978649,0.050041671220327544,,0.05593269470760454,,0.09332498413512418
I3,0.9998392031732831,0.9998715939650157,1.0,0.9980458289523022,0.9978921174496739,0.9980050098594344,0.9983382742600503,-0.9466435791005432,-0.909589117777743,-0.7101660123878966,0.997555421820017,0.9969258294907947,0.015378925630600617,0.010359233116545238,0.006279738362166859,0.055715698514867795,0.049890061216039325,0.049890068885329104,,0.055715698514867795,,0.09332358583588421
P,0.9983579510258375,0.9983029735277661,0.9980458289523022,1.0,0.9999802827590651,0.9999835835018013,0.999836227674473,-0.9281566891912422,-0.8871763918555814,-0.6754085742454838,0.9917201676552647,0.9909550855771191,0.016728407159566475,0.011692749112890689,0.007352316556453665,0.05468906455841463,0.048854585063365465,0.04885459493221907,,0.05468906455841463,,0.09258833190944199
P1,0.9982536205305046,0.9981680938133723,0.9978921174496739,0.9999802827590651,1.0,0.9999506039954128,0.9998034211755041,-0.927453875307995,-0.8862477355554373,-0.6744442985716863,0.9914548011769504,0.990688654524286,0.018411124319256362,0.013326438917095361,0.008871384625492158,0.055263707452961434,0.04942402388031537,0.04942403394799462,,0.055263707452961434,,0.09297742629072037
P2,0.9982978905334864,0.9982774833621204,0.9980050098594344,0.9999835835018013,0.9999506039954128,1.0,0.9998143665257317,-0.9279449807479988,-0.8868899959908618,-0.6749547458326529,0.9916340763836219,0.9908687946041447,0.017333657646849573,0.012394688548690833,0.008086710418469915,0.054341306474705274,0.048464576308529295,0.0484645861134875,,0.054341306474705274,,0.09223579426466706
P3,0.9984919496993322,0.9984395080060677,0.9983382742600503,0.999836227674473,0.9998034211755041,0.9998143665257317,1.0,-0.9291155717526488,-0.888250940754886,-0.6766919352478933,0.9921248032521665,0.9910509484297468,0.014297656227453602,0.009234075517830072,0.004956593479888709,0.054390933860526285,0.048636660460247956,0.04863666954921047,,0.054390933860526285,,0.0925205363163604
PF,-0.9450221865818497,-0.9453811837708725,-0.9466435791005432,-0.9281566891912422,-0.927453875307995,-0.9279449807479988,-0.9291155717526488,1.0,0.9935015759616418,0.8940315558375567,-0.962549982359214,-0.9645044416591891,-0.023139108293482834,-0.018302694234306176,-0.015183972832730415,-0.06162249430113436,-0.05567867322476785,-0.05567867397431599,,-0.061622494301134347,,-0.09276773420660249
PF1,-0.9076002389817129,-0.9080031072072424,-0.909589117777743,-0.8871763918555814,-0.8862477355554373,-0.8868899959908618,-0.888250940754886,0.9935015759616418,1.0,0.9249576460865857,-0.9298887550416082,-0.932861465639087,0.011599937012079887,0.015671393637784296,0.016669922997102182,-0.02886777074356778,-0.024323166872877246,-0.024323166572208992,,-0.028867770743567774,,-0.06440141529021572
PF2,-0.7074501371782782,-0.7079042667669189,-0.7101660123878966,-0.6754085742454838,-0.6744442985716863,-0.6749547458326529,-0.6766919352478933,0.8940315558375567,0.9249576460865857,1.0,-0.7445650993408721,-0.7509517550475228,-0.11974853812406311,-0.11443799563781717,-0.11343991279510322,-0.13696396379289127,-0.13005183105388984,-0.13005182377155305,,-0.13696396379289125,,-0.13267770988495914
PF3,0.9970787881571969,0.997193169845867,0.997555421820017,0.9917201676552647,0.9914548011769504,0.9916340763836219,0.9921248032521665,-0.962549982359214,-0.9298887550416082,-0.7445650993408721,1.0,0.9991887862833998,0.014403002312249441,0.009351473304127469,0.005481479786394788,0.057401348139134736,0.05154864523131869,0.05154865128797359,,0.057401348139134736,,0.09419624666835068
Q,0.9965818631045398,0.9966718636079827,0.9969258294907947,0.9909550855771191,0.990688654524286,0.9908687946041447,0.9910509484297468,-0.9645044416591891,-0.932861465639087,-0.7509517550475228,0.9991887862833998,1.0,0.019884057663140033,0.014868243204312383,0.010940148723020163,0.05731881099686823,0.05141348362223934,0.05141349052166446,,0.05731881099686823,,0.09423187031118899
U1,0.01701304383543486,0.016881375278670955,0.015378925630600617,0.016728407159566475,0.018411124319256362,0.017333657646849573,0.014297656227453602,-0.023139108293482834,0.011599937012079887,-0.11974853812406311,0.014403002312249441,0.019884057663140033,1.0,0.994269232076582,0.9850542265395277,0.1956025087404937,0.1740441192700814,0.1740441148077527,,0.1956025087404937,,0.13395664316861455
U2,0.011929692338879416,0.011911076420606315,0.010359233116545238,0.011692749112890689,0.013326438917095361,0.012394688548690833,0.009234075517830072,-0.018302694234306176,0.015671393637784296,-0.11443799563781717,0.009351473304127469,0.014868243204312383,0.994269232076582,1.0,0.9833152109420592,0.17991538819640182,0.15774065029602366,0.15774064494181442,,0.1799153881964018,,0.1349839653571831
U3,0.007720604912405248,0.007782128956502235,0.006279738362166859,0.007352316556453665,0.008871384625492158,0.008086710418469915,0.004956593479888709,-0.015183972832730415,0.016669922997102182,-0.11343991279510322,0.005481479786394788,0.010940148723020163,0.9850542265395277,0.9833152109420592,1.0,0.1999162744960811,0.17494304200495067,0.17494303478170556,,0.1999162744960811,,0.07926656628788491
W,0.0563215724291533,0.05593269470760455,0.055715698514867795,0.05468906455841463,0.055263707452961434,0.054341306474705274,0.054390933860526285,-0.06162249430113436,-0.02886777074356778,-0.13696396379289127,0.057401348139134736,0.05731881099686823,0.1956025087404937,0.17991538819640182,0.1999162744960811,1.0,0.9931318698654051,0.9931318650244678,,0.9999999999999999,,0.4627564897625181
WQ,0.050482098355723655,0.05004166187978649,0.049890061216039325,0.048854585063365465,0.04942402388031537,0.048464576308529295,0.048636660460247956,-0.05567867322476785,-0.024323166872877246,-0.13005183105388984,0.05154864523131869,0.05141348362223934,0.1740441192700814,0.15774065029602366,0.17494304200495067,0.9931318698654051,1.0,0.999999999999773,,0.9931318698654049,,0.4503599001509166
WQ_in,0.050482106458693526,0.050041671220327544,0.049890068885329104,0.04885459493221907,0.04942403394799462,0.0484645861134875,0.04863666954921047,-0.05567867397431599,-0.024323166572208992,-0.13005182377155305,0.05154865128797359,0.05141349052166446,0.1740441148077527,0.15774064494181442,0.17494303478170556,0.9931318650244678,0.999999999999773,1.0,,0.9931318650244676,,0.4503598942208671
WQ_out,,,,,,,,,,,,,,,,,,,,,,
W_in,0.05632157242915329,0.05593269470760454,0.055715698514867795,0.05468906455841463,0.055263707452961434,0.054341306474705274,0.054390933860526285,-0.061622494301134347,-0.028867770743567774,-0.13696396379289125,0.057401348139134736,0.05731881099686823,0.1956025087404937,0.1799153881964018,0.1999162744960811,0.9999999999999999,0.9931318698654049,0.9931318650244676,,1.0,,0.4627564897625181
W_out,,,,,,,,,,,,,,,,,,,,,,
f,0.09365532630314434,0.09332498413512418,0.09332358583588421,0.09258833190944199,0.09297742629072037,0.09223579426466706,0.0925205363163604,-0.09276773420660249,-0.06440141529021572,-0.13267770988495914,0.09419624666835068,0.09423187031118899,0.13395664316861455,0.1349839653571831,0.07926656628788491,0.4627564897625181,0.4503599001509166,0.4503598942208671,,0.4627564897625181,,1.0
