measurement,I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f
I1,1.0,0.9998527000369981,0.9998012391286959,0.9993762017954372,0.999539104638708,0.999546461483153,0.9996183620174488,0.9725963065681499,0.9728086831990074,0.9682685046300162,0.9730993878822016,0.9043717733496905,-0.06854843679902169,-0.0472847361527799,-0.17153794311029447,0.00942375712865585,0.013633680428220177,-0.01941317121583113,-0.013984674809462137,-0.022037420038499084,-0.00947648518967361,0.08657862501857996
I2,0.9998527000369981,1.0,0.9998891670583228,0.9995349537285182,0.999611882414729,0.999815382500746,0.9997633141554878,0.9716978944274989,0.972340630057253,0.9683502002820482,0.9725390999121443,0.9046030604959683,-0.06898132381093014,-0.047328615814593626,-0.17079293656081454,0.009070937339390385,0.013257971914659637,-0.01895892251862915,-0.013604173535847287,-0.02147446156844745,-0.00912278404078959,0.08717178373185433
I3,0.9998012391286959,0.9998891670583228,1.0,0.9995006029158476,0.9995803018838104,0.999711068162747,0.9998633717092672,0.9711079850540216,0.9718659414822491,0.9680674596609024,0.9720680951281869,0.9051894102443363,-0.06638976631194507,-0.04535070493448774,-0.168304404989885,0.00477856235636715,0.008945179511167004,-0.014606263190596824,-0.009288452662748217,-0.017083096753289815,-0.004829931856550664,0.0896923195862135
P,0.9993762017954372,0.9995349537285182,0.9995006029158476,1.0,0.9997201184319764,0.9997329592168176,0.9996991277530942,0.9711630416840363,0.9727547949307951,0.9702190703112149,0.9729285731543941,0.9045540874398048,-0.07536726204170499,-0.053779858662768874,-0.17723893983846478,0.010662381531891404,0.014987200648533809,-0.020414272428189207,-0.01531705479412861,-0.02320541856953814,-0.01071483376867108,0.08564012765418531
P1,0.999539104638708,0.999611882414729,0.9995803018838104,0.9997201184319764,1.0,0.9998539116462581,0.9997921409418631,0.9713724151768829,0.973268354266237,0.9710783564307786,0.9733662409232191,0.9057265985486787,-0.07419010425284787,-0.05257026485133726,-0.1765125273181796,0.01107178656098611,0.015360716665404317,-0.020837062410587703,-0.015693594259414745,-0.02358695935129106,-0.011124128785116127,0.08535120039605475
P2,0.999546461483153,0.999815382500746,0.999711068162747,0.9997329592168176,0.9998539116462581,1.0,0.9998707665313706,0.970745724855931,0.9722806927133057,0.9697312108405712,0.9724755779976614,0.9048551995785733,-0.07447823710162725,-0.05266013885451067,-0.1758309919555041,0.00974163976070789,0.014002368043160903,-0.019496895663558552,-0.014336181339150888,-0.02211727925304461,-0.00979338028845645,0.08676679043803665
P3,0.9996183620174488,0.9997633141554878,0.9998633717092672,0.9996991277530942,0.9997921409418631,0.9998707665313706,1.0,0.9711564459700058,0.9724379096092499,0.969492991156251,0.9726663977607698,0.9029669414791823,-0.07359104482520351,-0.05251047310031903,-0.17538175554384897,0.006452474806578292,0.010743150285392923,-0.016186976592846628,-0.011073506859205873,-0.01885919931221925,-0.0065042954885028825,0.0881398532791954
PF,0.9725963065681499,0.9716978944274989,0.9711079850540216,0.9711630416840363,0.9713724151768829,0.970745724855931,0.9711564459700058,1.0,0.9978146106468121,0.9887388340948852,0.9980282755222741,0.8246380133047374,-0.10910462570621722,-0.09012621335784649,-0.212037341544964,0.07396143086880039,0.07887993916278718,-0.08381643402653607,-0.07918782161793964,-0.08721645119743975,-0.07401780284158921,0.032662932727912396
PF1,0.9728086831990074,0.972340630057253,0.9718659414822491,0.9727547949307951,0.973268354266237,0.9722806927133057,0.9724379096092499,0.9978146106468121,1.0,0.9949358900461288,0.9989147987213288,0.8324893867993421,-0.10869674759641351,-0.08852452468590542,-0.21043684406288488,0.08898178930660162,0.0937297584624079,-0.09849060107359449,-0.09402880899202233,-0.10164266390604666,-0.08903591007538109,0.0240346720263153
PF2,0.9682685046300162,0.9683502002820482,0.9680674596609024,0.9702190703112149,0.9710783564307786,0.9697312108405712,0.969492991156251,0.9887388340948852,0.9949358900461288,1.0,0.9953252422789741,0.8392668275257393,-0.10731556010202367,-0.08649586650534045,-0.20672148770446075,0.07422256835545411,0.07922676187570755,-0.08291375435029068,-0.07945915644289483,-0.08649833106968127,-0.07427486173958335,0.03227467148968066
PF3,0.9730993878822016,0.9725390999121443,0.9720680951281869,0.9729285731543941,0.9733662409232191,0.9724755779976614,0.9726663977607698,0.9980282755222741,0.9989147987213288,0.9953252422789741,1.0,0.8310817500766705,-0.11056752387362681,-0.09095427657470276,-0.21213150779863452,0.07177299321586726,0.0767042151132476,-0.08132425791906474,-0.07699270714463415,-0.08466726505976024,-0.07182782833752645,0.034057704435029555
Q,0.9043717733496905,0.9046030604959683,0.9051894102443363,0.9045540874398048,0.9057265985486787,0.9048551995785733,0.9029669414791823,0.8246380133047374,0.8324893867993421,0.8392668275257393,0.8310817500766705,1.0,0.06638030997085709,0.09341282959139757,-0.02434959155753177,-0.047431499106509796,-0.04559690603099575,0.038225951686222476,0.045156831620440645,0.03828474839368807,0.047394079214429626,0.14820703930252638
U1,-0.06854843679902169,-0.06898132381093014,-0.06638976631194507,-0.07536726204170499,-0.07419010425284787,-0.07447823710162725,-0.07359104482520351,-0.10910462570621722,-0.10869674759641351,-0.10731556010202367,-0.11056752387362681,0.06638030997085709,1.0,0.9938017295219367,0.9845505219351952,-0.22024005589307374,-0.226510514987083,0.21845517786858248,0.22605082302482507,0.22692945170104376,0.22027125406396508,0.17601311029852132
U2,-0.0472847361527799,-0.047328615814593626,-0.04535070493448774,-0.053779858662768874,-0.05257026485133726,-0.05266013885451067,-0.05251047310031903,-0.09012621335784649,-0.08852452468590542,-0.08649586650534045,-0.09095427657470276,0.09341282959139757,0.9938017295219367,1.0,0.9819680607218173,-0.20732040551515493,-0.21382888880952233,0.20503629197665738,0.2133231059534358,0.21444788242473728,0.20735323581079593,0.17265919233988802
U3,-0.17153794311029447,-0.17079293656081454,-0.168304404989885,-0.17723893983846478,-0.1765125273181796,-0.1758309919555041,-0.17538175554384897,-0.212037341544964,-0.21043684406288488,-0.20672148770446075,-0.21213150779863452,-0.02434959155753177,0.9845505219351952,0.9819680607218173,1.0,-0.22003520519126113,-0.22759560911912294,0.21961988223368456,0.22714085938443282,0.2313820545018464,0.2200858169780054,0.1723901046456335
W,0.00942375712865585,0.009070937339390385,0.00477856235636715,0.010662381531891404,0.01107178656098611,0.00974163976070789,0.006452474806578292,0.07396143086880039,0.08898178930660162,0.07422256835545411,0.07177299321586726,-0.047431499106509796,-0.22024005589307374,-0.20732040551515493,-0.22003520519126113,1.0,0.9992822916154225,-0.9990659135530142,-0.9993893780950488,-0.9963794416330788,-0.999999937188706,-0.6312602608562778
WQ,0.013633680428220177,0.013257971914659637,0.008945179511167004,0.014987200648533809,0.015360716665404317,0.014002368043160903,0.010743150285392923,0.07887993916278718,0.0937297584624079,0.07922676187570755,0.0767042151132476,-0.04559690603099575,-0.226510514987083,-0.21382888880952233,-0.22759560911912294,0.9992822916154225,1.0,-0.9978828042720811,-0.999992271994947,-0.9975234730181162,-0.999289979477761,-0.6307957640599139
WQ_in,-0.01941317121583113,-0.01895892251862915,-0.014606263190596824,-0.020414272428189207,-0.020837062410587703,-0.019496895663558552,-0.016186976592846628,-0.08381643402653607,-0.09849060107359449,-0.08291375435029068,-0.08132425791906474,0.038225951686222476,0.21845517786858248,0.20503629197665738,0.21961988223368456,-0.9990659135530142,-0.9978828042720811,1.0,0.9981307824068281,0.9970174615022315,0.9990723907060651,0.6294782958673225
WQ_out,-0.013984674809462137,-0.013604173535847287,-0.009288452662748217,-0.01531705479412861,-0.015693594259414745,-0.014336181339150888,-0.011073506859205873,-0.07918782161793964,-0.09402880899202233,-0.07945915644289483,-0.07699270714463415,0.045156831620440645,0.22605082302482507,0.2133231059534358,0.22714085938443282,-0.9993893780950488,-0.999992271994947,0.9981307824068281,1.0,0.9976128401131183,0.9993969936964189,0.6307919802040379
W_in,-0.022037420038499084,-0.02147446156844745,-0.017083096753289815,-0.02320541856953814,-0.02358695935129106,-0.02211727925304461,-0.01885919931221925,-0.08721645119743975,-0.10164266390604666,-0.08649833106968127,-0.08466726505976024,0.03828474839368807,0.22692945170104376,0.21444788242473728,0.2313820545018464,-0.9963794416330788,-0.9975234730181162,0.9970174615022315,0.9976128401131183,1.0,0.996409512105083,0.6334661096406262
W_out,-0.00947648518967361,-0.00912278404078959,-0.004829931856550664,-0.01071483376867108,-0.011124128785116127,-0.00979338028845645,-0.0065042954885028825,-0.07401780284158921,-0.08903591007538109,-0.07427486173958335,-0.07182782833752645,0.047394079214429626,0.22027125406396508,0.20735323581079593,0.2200858169780054,-0.999999937188706,-0.999289979477761,0.9990723907060651,0.9993969936964189,0.996409512105083,1.0,0.6312789452894924
f,0.08657862501857996,0.08717178373185433,0.0896923195862135,0.08564012765418531,0.08535120039605475,0.08676679043803665,0.0881398532791954,0.032662932727912396,0.0240346720263153,0.03227467148968066,0.034057704435029555,0.14820703930252638,0.17601311029852132,0.17265919233988802,0.1723901046456335,-0.6312602608562778,-0.6307957640599139,0.6294782958673225,0.6307919802040379,0.6334661096406262,0.6312789452894924,1.0
