feature,n_total,n_anomaly,ratio,residual_max,residual_min,upper,lower,null_ratio
Tdiff,52583,989,1.8808360116387428,8789.29960229617,-6366.533422608654,1638.8695819781815,-1639.053538009221,0.0
qv,52583,799,1.5195025008082461,43.04242853133243,-48.27522167711639,20.081287333152783,-20.071893922819616,0.0
Tvl,52550,1184,2.253092293054234,15.979049165596281,-15.33816128961034,4.627881831404849,-4.63122571040331,0.06275792556529677
Trl,52539,1121,2.1336530957955047,14.466087042316179,-16.5029061164037,4.676467206570711,-4.67857424116063,0.08367723408706236
P,52583,629,1.1962040963809597,1247783.5867652043,-214479.1203499515,69847.69873015,-69838.6211407804,0.0
