meter_urn,issue_id,reason,time_start,time_end,comment
H2.Z311,H2.Z311.W@zero@1595324564,zero,2020-07-21 09:42:44+00:00,2020-07-21 09:42:44+00:00,"zero, 0.0h from 2020-07-21T09:42:44Z to 2020-07-21T09:42:44Z"
H2.Z311,H2.Z311.W@zero@1595328583,zero,2020-07-21 10:49:43+00:00,2020-07-21 10:49:43+00:00,"zero, 0.0h from 2020-07-21T10:49:43Z to 2020-07-21T10:49:43Z"
H2.Z311,H2.Z311.WQ@zero@1595324564,zero,2020-07-21 09:42:44+00:00,2020-07-21 09:42:44+00:00,"zero, 0.0h from 2020-07-21T09:42:44Z to 2020-07-21T09:42:44Z"
H2.Z311,H2.Z311.WQ@zero@1595328583,zero,2020-07-21 10:49:43+00:00,2020-07-21 10:49:43+00:00,"zero, 0.0h from 2020-07-21T10:49:43Z to 2020-07-21T10:49:43Z"
H2.Z311,H2.Z311.W_in@zero@1595324564,zero,2020-07-21 09:42:44+00:00,2020-07-21 09:42:44+00:00,"zero, 0.0h from 2020-07-21T09:42:44Z to 2020-07-21T09:42:44Z"
H2.Z311,H2.Z311.W_in@zero@1595328583,zero,2020-07-21 10:49:43+00:00,2020-07-21 10:49:43+00:00,"zero, 0.0h from 2020-07-21T10:49:43Z to 2020-07-21T10:49:43Z"
H2.Z311,H2.Z311.W_out@zero@1595324564,zero,2020-07-21 09:42:44+00:00,2020-07-21 09:42:44+00:00,"zero, 0.0h from 2020-07-21T09:42:44Z to 2020-07-21T09:42:44Z"
H2.Z311,H2.Z311.W_out@zero@1595328583,zero,2020-07-21 10:49:43+00:00,2020-07-21 10:49:43+00:00,"zero, 0.0h from 2020-07-21T10:49:43Z to 2020-07-21T10:49:43Z"
H2.Z63,H2.Z63.W@zero@1581326280,zero,2020-02-10 09:18:00+00:00,2020-02-10 09:18:00+00:00,"zero, 0.0h from 2020-02-10T09:18:00Z to 2020-02-10T09:18:00Z"
H2.Z63,H2.Z63.W@zero@1581334200,zero,2020-02-10 11:30:00+00:00,2020-02-10 11:30:00+00:00,"zero, 0.0h from 2020-02-10T11:30:00Z to 2020-02-10T11:30:00Z"
H2.Z63,H2.Z63.W@zero@1581348840,zero,2020-02-10 15:34:00+00:00,2020-02-10 15:34:00+00:00,"zero, 0.0h from 2020-02-10T15:34:00Z to 2020-02-10T15:34:00Z"
H2.Z63,H2.Z63.W@zero@1581354720,zero,2020-02-10 17:12:00+00:00,2020-02-10 17:12:00+00:00,"zero, 0.0h from 2020-02-10T17:12:00Z to 2020-02-10T17:12:00Z"
H2.Z63,H2.Z63.W@zero@1581359280,zero,2020-02-10 18:28:00+00:00,2020-02-10 18:28:00+00:00,"zero, 0.0h from 2020-02-10T18:28:00Z to 2020-02-10T18:28:00Z"
