date,meter_urn,measurement,anomaly_hours,anomaly_count,max_z_score,value_change_ratio,target_mean,baseline_mean
2023-03-03,H1.W11,P,"['2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 22:00:00+00:00']",9,5.006,0.6476,481023.611,291955.333
2023-03-03,H4.Z50,P2,"['2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00']",2,4.964,0.5107,1525.12,1009.569
2023-03-03,H4.Z50,I2,"['2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00']",2,4.945,0.4699,7.192,4.893
2023-03-03,H4.ZE50,P2,"['2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00']",3,4.848,0.5445,1168.787,756.732
2023-03-03,H1.Z22,P2,"['2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00']",3,4.827,2.4964,4.613,1.319
2023-03-03,H4.ZE50,I2,"['2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00']",3,4.799,0.4958,5.444,3.639
2023-03-03,H1.Z10,I2,"['2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00']",2,4.797,0.1737,10.322,8.794
2023-03-03,H1.Z10,P2,"['2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00']",2,4.712,0.1431,2117.62,1852.462
2023-03-03,H1.K15,Tdiff,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,4.711,0.4852,-10759.184,-7244.478
2023-03-03,H1.K15,Tvl,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00']",22,4.612,0.2073,9.818,8.132
