date,meter_urn,measurement,anomaly_hours,anomaly_count,max_z_score,target_mean,baseline_mean
2023-03-03,H2.Z67,WQ_in,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,16.56,138473.753,138409.066
2023-03-03,H2.ZE67,W1,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,15.409,6206.237,6178.589
2023-03-03,H2.Z63,P,['2023-03-03 13:00:00+00:00'],1,12.567,17715.008,17830.173
2023-03-03,H2.Z62,Q,['2023-03-03 13:00:00+00:00'],1,12.343,341.48,348.32
2023-03-03,H1.Z16,P,['2023-03-03 13:00:00+00:00'],1,10.343,435.992,441.839
2023-03-03,H1.Z18,P,"['2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00']",8,9.95,68.115,72.693
2023-03-03,H2.Z62,P,['2023-03-03 13:00:00+00:00'],1,8.193,14.321,14.718
2023-03-03,H1.Z16,Q,['2023-03-03 13:00:00+00:00'],1,7.43,47.607,48.844
2023-03-03,H1.Z21,WQ_in,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.506,6295.787,6295.712
2023-03-03,H1.Z29,W2,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.449,-767176.137,-764628.177
2023-03-03,H1.Z29,W1,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.429,-826634.406,-823902.344
2023-03-03,H1.Z29,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.426,-2301048.731,-2293301.68
2023-03-03,H1.Z29,W3,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,6.399,-707239.085,-704772.06
